sport,timestamp,enhanced_avg_speed,avg_speed,avg_cadence,total_distance,avg_temperature,avg_heart_rate,year,month,day,date,miles_per_hour,mile_pace,steps_per_minute
cycling,2023-06-24T17:09:12Z,2.525,65.535,255,8046.72,127,121,2023,6,24,2023-6-24,5.6482634,10.622734060171485,510
cycling,2023-06-24T18:01:54Z,2.611,65.535,255,8046.72,127,111,2023,6,24,2023-6-24,5.840639896000001,10.272846994229413,510
cycling,2023-06-24T18:52:11Z,2.667,65.535,255,8046.72,127,122,2023,6,24,2023-6-24,5.965908312,10.0571441702036,510
cycling,2023-06-24T18:57:54Z,2.831,65.535,255,928.39,127,120,2023,6,24,2023-6-24,6.332765816,9.474533204497703,510
cycling,2023-06-24T19:15:57Z,1.902,65.535,255,1387.66,127,116,2023,6,24,2023-6-24,4.2546522719999995,14.102210043077289,510
cycling,2023-06-25T19:00:44Z,2.966,65.535,255,8046.72,127,106,2023,6,25,2023-6-25,6.634752176,9.043291807799394,510
cycling,2023-06-25T19:52:19Z,2.6,65.535,255,8046.72,127,102,2023,6,25,2023-6-25,5.8160336,10.316309039205,510
cycling,2023-06-25T21:14:00Z,1.642,65.535,255,8046.72,127,111,2023,6,25,2023-6-25,3.673048912,16.335203107145556,510
cycling,2023-06-25T22:23:33Z,1.928,65.535,255,8046.72,127,113,2023,6,25,2023-6-25,4.312812608,13.91203501137604,510
cycling,2023-06-25T22:51:45Z,2.545,65.535,255,4298.66,127,118,2023,6,25,2023-6-25,5.69300212,10.539254814119058,510
running,2023-06-27T00:09:44Z,2.974,65.535,71,1609.34,127,126,2023,6,27,2023-6-27,6.652647664000001,9.018965535283456,142
running,2023-06-27T00:18:54Z,3.06,65.535,73,1609.34,127,137,2023,6,27,2023-6-27,6.84502416,8.765491340500981,146
running,2023-06-27T00:28:40Z,2.911,65.535,72,1609.34,127,129,2023,6,27,2023-6-27,6.511720696,9.214154414954654,144
running,2023-06-27T00:38:46Z,2.659,65.535,70,1609.34,127,128,2023,6,27,2023-6-27,5.948012824,10.087402595687477,140
running,2023-06-27T00:42:19Z,3.064,65.535,75,646.77,127,124,2023,6,27,2023-6-27,6.853971904000001,8.754048140317558,150
running,2023-06-27T23:17:44Z,3.198,65.535,75,1535.52,127,126,2023,6,27,2023-6-27,7.153721328,8.387243121304879,150
running,2023-06-27T23:20:55Z,4.304,65.535,78,818.73,127,140,2023,6,27,2023-6-27,9.627772544,6.231971073869191,156
running,2023-06-27T23:24:06Z,4.194,65.535,77,803.75,127,147,2023,6,27,2023-6-27,9.381709584,6.395422866459944,154
running,2023-06-27T23:27:19Z,4.154,65.535,77,801.24,127,159,2023,6,27,2023-6-27,9.292232144,6.457006139126866,154
running,2023-06-27T23:30:34Z,4.154,65.535,77,810.44,127,165,2023,6,27,2023-6-27,9.292232144,6.457006139126866,154
running,2023-06-27T23:33:48Z,4.114,65.535,76,799.31,127,179,2023,6,27,2023-6-27,9.202754704,6.5197869474800685,152
running,2023-06-27T23:36:59Z,4.223,65.535,77,804.11,127,183,2023,6,27,2023-6-27,9.446580728,6.351504499628937,154
running,2023-06-27T23:37:47Z,4.151,65.535,77,201.63,127,185,2023,6,27,2023-6-27,9.285521336,6.461672729928451,154
running,2023-06-27T23:48:23Z,2.347,65.535,63,1480.22,127,146,2023,6,27,2023-6-27,5.250088792,11.428378143132937,126
running,2023-06-28T22:43:34Z,3.272,65.535,76,1609.34,127,138,2023,6,28,2023-6-28,7.319254592,8.197556082497861,152
running,2023-06-28T22:51:17Z,3.476,65.535,75,1609.34,127,154,2023,6,28,2023-6-28,7.775589536,7.716456703663119,150
running,2023-06-28T22:59:28Z,3.275,65.535,75,1609.34,127,151,2023,6,28,2023-6-28,7.3259654,8.190046870819236,150
running,2023-06-28T23:07:37Z,3.294,65.535,75,1609.34,127,160,2023,6,28,2023-6-28,7.368467184,8.142806163306922,150
running,2023-06-28T23:08:03Z,3.855,65.535,73,93.11,127,155,2023,6,28,2023-6-28,8.62338828,6.957821920086381,146
cycling,2023-06-30T02:10:27Z,1.338,65.535,255,8046.72,127,109,2023,6,30,2023-6-30,2.9930203680000003,20.046639388589686,510
cycling,2023-06-30T03:11:58Z,1.231,65.535,255,4382.51,127,114,2023,6,30,2023-6-30,2.7536682160000003,21.789117385810723,510
cycling,2023-06-30T22:54:13Z,1.663,65.535,255,8046.72,127,138,2023,6,30,2023-6-30,3.720024568,16.128925737782925,510
cycling,2023-06-30T23:28:49Z,3.086,65.535,255,6354.7,127,120,2023,6,30,2023-6-30,6.903184496,8.69164079777479,510
running,2023-07-01T23:43:48Z,3.133,65.535,74,1609.34,127,126,2023,7,1,2023-7-1,7.008320488,8.561252314692947,148
running,2023-07-01T23:51:59Z,3.276,65.535,75,1609.34,127,141,2023,7,1,2023-7-1,7.3282023359999995,8.187546856511906,150
running,2023-07-02T00:00:02Z,3.333,65.535,75,1609.34,127,149,2023,7,2,2023-7-2,7.455707688,8.047525803160216,150
running,2023-07-02T00:08:12Z,3.287,65.535,75,1609.34,127,155,2023,7,2,2023-7-2,7.352808632,8.160147095203225,150
